#
#nB[fm^-3]                nB/n0                 E/A NS[MeV]           E/A HIC[MeV]       
  1.350000                9.000000              1434.247908            1338.107100           
  1.360000                9.066667              1438.492534            1341.937992           
  1.370000                9.133333              1442.737301            1345.769148           
  1.380000                9.200000              1446.982219            1349.600607           
  1.390000                9.266667              1451.227211            1353.432278           
  1.400000                9.333333              1455.472316            1357.264214           
  1.410000                9.400000              1459.717468            1361.096343           
  1.420000                9.466667              1463.962676            1364.928695           
  1.430000                9.533333              1468.207838            1368.761151           
  1.440000                9.600000              1472.452980            1372.593754           
  1.450000                9.666667              1476.698076            1376.426467           
  1.460000                9.733333              1480.943087            1380.259255           
  1.470000                9.800000              1485.188023            1384.092150           
  1.480000                9.866667              1489.432818            1387.925059           
  1.490000                9.933333              1493.677463            1391.757989           
  1.500000               10.000000              1497.921948            1395.590921           
  1.510000               10.066667              1502.166218            1399.423818           
  1.520000               10.133333              1506.410299            1403.256689           
  1.530000               10.200000              1510.654137            1407.089499           
  1.540000               10.266667              1514.897711            1410.922196           
  1.550000               10.333333              1519.141023            1414.754814           
  1.560000               10.400000              1523.384034            1418.587299           
  1.570000               10.466667              1527.626754            1422.419660           
  1.580000               10.533333              1531.869108            1426.251822           
  1.590000               10.600000              1536.111124            1430.083809           
  1.600000               10.666667              1540.352802            1433.915637           
  1.610000               10.733333              1544.594067            1437.747200           
  1.620000               10.800000              1548.834938            1441.578542           
  1.630000               10.866667              1553.075367            1445.409595           
  1.640000               10.933333              1557.315402            1449.240418           
  1.650000               11.000000              1561.554939            1453.070904           
  1.660000               11.066667              1565.794063            1456.901130           
  1.670000               11.133333              1570.032671            1460.730995           
  1.680000               11.200000              1574.270790            1464.560517           
  1.690000               11.266667              1578.508421            1468.389708           
  1.700000               11.333333              1582.745508            1472.218494           
  1.710000               11.400000              1586.982088            1476.046926           
  1.720000               11.466667              1591.218094            1479.874923           
  1.730000               11.533333              1595.453566            1483.702523           
  1.740000               11.600000              1599.688437            1487.529660           
  1.750000               11.666667              1603.922716            1491.356347           
  1.760000               11.733333              1608.156432            1495.182590           
  1.770000               11.800000              1612.389510            1499.008325           
  1.780000               11.866667              1616.621967            1502.833576           
  1.790000               11.933333              1620.853824            1506.658334           
  1.800000               12.000000              1625.085033            1510.482565           
  1.810000               12.066667              1629.315576            1514.306250           
  1.820000               12.133333              1633.545461            1518.129395           
  1.830000               12.200000              1637.774670            1521.951967           
  1.840000               12.266667              1642.003194            1525.773962           
  1.850000               12.333333              1646.231041            1529.595376           
  1.860000               12.400000              1650.458175            1533.416172           
  1.870000               12.466667              1654.684633            1537.236405           
  1.880000               12.533333              1658.910322            1541.055943           
  1.890000               12.600000              1663.135315            1544.874881           
  1.900000               12.666667              1667.359576            1548.693176           
  1.910000               12.733333              1671.583076            1552.510796           
  1.920000               12.800000              1675.805854            1556.327758           
  1.930000               12.866667              1680.027843            1560.144018           
  1.940000               12.933333              1684.249090            1563.959595           
  1.950000               13.000000              1688.469576            1567.774485           
  1.960000               13.066667              1692.689265            1571.588640           
  1.970000               13.133333              1696.908183            1575.402087           
  1.980000               13.200000              1701.126285            1579.214752           
  1.990000               13.266667              1705.343636            1583.026735           
  2.000000               13.333333              1709.560141            1586.837924           
  2.010000               13.400000              1713.775858            1590.648360           
  2.020000               13.466667              1717.990758            1594.458023           
  2.030000               13.533333              1722.204822            1598.266879           
  2.040000               13.600000              1726.418061            1602.074947           
  2.050000               13.666667              1730.630454            1605.882201           
  2.060000               13.733333              1734.842058            1609.688684           
  2.070000               13.800000              1739.052799            1613.488330           
  2.080000               13.866667              1743.262628            1617.273092           
  2.090000               13.933333              1747.471557            1621.049356           
  2.100000               14.000000              1751.679500            1624.818925           
  2.110000               14.066667              1755.886503            1628.582845           
  2.120000               14.133333              1760.092540            1632.341711           
  2.130000               14.200000              1764.297572            1636.095954           
  2.140000               14.266667              1768.501599            1639.845928           
  2.150000               14.333333              1772.704594            1643.591847           
  2.160000               14.400000              1776.906574            1647.334012           
  2.170000               14.466667              1781.107522            1651.072571           
  2.180000               14.533333              1785.307418            1654.807675           
  2.190000               14.600000              1789.506281            1658.539497           
  2.200000               14.666667              1793.704102            1662.268137           
  2.210000               14.733333              1797.900834            1665.993671           
  2.220000               14.800000              1802.096524            1669.716251           
  2.230000               14.866667              1806.291143            1673.435927           
  2.240000               14.933333              1810.484673            1677.152781           
  2.250000               15.000000              1814.677114            1680.866885           
  2.260000               15.066667              1818.868504            1684.578333           
  2.270000               15.133333              1823.058804            1688.287162           
  2.280000               15.200000              1827.248006            1691.993411           
  2.290000               15.266667              1831.436137            1695.697189           
  2.300000               15.333333              1835.623189            1699.398506           
  2.310000               15.400000              1839.809114            1703.097388           
  2.320000               15.466667              1843.993950            1706.793896           
  2.330000               15.533333              1848.177696            1710.488084           
  2.340000               15.600000              1852.360345            1714.179979           
  2.350000               15.666667              1856.541866            1717.869588           
  2.360000               15.733333              1860.722326            1721.557015           
  2.370000               15.800000              1864.901679            1725.242241           
  2.380000               15.866667              1869.079933            1728.925315           
  2.390000               15.933333              1873.257060            1732.606227           
  2.400000               16.000000              1877.433117            1736.285065           
  2.410000               16.066667              1881.608010            1739.961767           
  2.420000               16.133333              1885.781898            1743.636513           
  2.430000               16.200000              1889.954584            1747.309128           
  2.440000               16.266667              1894.126209            1750.979766           
  2.450000               16.333333              1898.296821            1754.648519           
  2.460000               16.400000              1902.466230            1758.315223           
  2.470000               16.466667              1906.634550            1761.979972           
  2.480000               16.533333              1910.801819            1765.642852           
  2.490000               16.600000              1914.967886            1769.303717           
  2.500000               16.666667              1919.132957            1772.962809           
  2.510000               16.733333              1923.296949            1776.620041           
  2.520000               16.800000              1927.459748            1780.275325           
  2.530000               16.866667              1931.621487            1783.928802           
  2.540000               16.933333              1935.782127            1787.580460           
  2.550000               17.000000              1939.941696            1791.230336           
  2.560000               17.066667              1944.100139            1794.878381           
  2.570000               17.133333              1948.257558            1798.524706           
  2.580000               17.200000              1952.413879            1802.169277           
  2.590000               17.266667              1956.569064            1805.812022           
  2.600000               17.333333              1960.723216            1809.453097           
  2.610000               17.400000              1964.876241            1813.092396           
  2.620000               17.466667              1969.028224            1816.730034           
  2.630000               17.533333              1973.179052            1820.365887           
  2.640000               17.600000              1977.328914            1824.000165           
  2.650000               17.666667              1981.477639            1827.632709           
  2.660000               17.733333              1985.625265            1831.263556           
  2.670000               17.800000              1989.771849            1834.892774           
  2.680000               17.866667              1993.917344            1838.520316           
  2.690000               17.933333              1998.061788            1842.146255           
  2.700000               18.000000              2002.205171            1845.770570           
  2.710000               18.066667              2006.347473            1849.393244           
  2.720000               18.133333              2010.488715            1853.014319           
  2.730000               18.200000              2014.628952            1856.633842           
  2.740000               18.266667              2018.768072            1860.251725           
  2.750000               18.333333              2022.906112            1863.867995           
  2.760000               18.400000              2027.043213            1867.482807           
  2.770000               18.466667              2031.179169            1871.095969           
  2.780000               18.533333              2035.314064            1874.707556           
  2.790000               18.600000              2039.447963            1878.317647           
  2.800000               18.666667              2043.580792            1881.926182           
  2.810000               18.733333              2047.712570            1885.533160           
  2.820000               18.800000              2051.843305            1889.138617           
  2.830000               18.866667              2055.973036            1892.742581           
  2.840000               18.933333              2060.101696            1896.345003           
  2.850000               19.000000              2064.229380            1899.945980           
  2.860000               19.066667              2068.355965            1903.545394           
  2.870000               19.133333              2072.481593            1907.143378           
  2.880000               19.200000              2076.606141            1910.739826           
  2.890000               19.266667              2080.729684            1914.334817           
  2.900000               19.333333              2084.852185            1917.928319           
