#
#nB[fm^-3]                nB/n0                 E/A NS[MeV]           E/A HIC[MeV]       
  1.360000                9.066667              1373.787227            1304.054359           
  1.370000                9.133333              1377.657621            1307.714032           
  1.380000                9.200000              1381.524928            1311.372497           
  1.390000                9.266667              1385.389112            1315.029707           
  1.400000                9.333333              1389.250155            1318.685648           
  1.410000                9.400000              1393.108044            1322.340304           
  1.420000                9.466667              1396.962765            1325.993649           
  1.430000                9.533333              1400.814339            1329.645708           
  1.440000                9.600000              1404.662667            1333.296373           
  1.450000                9.666667              1408.507780            1336.945662           
  1.460000                9.733333              1412.349673            1340.593587           
  1.470000                9.800000              1416.188324            1344.240091           
  1.480000                9.866667              1420.023706            1347.885170           
  1.490000                9.933333              1423.855820            1351.528806           
  1.500000               10.000000              1427.684695            1355.171018           
  1.510000               10.066667              1431.510229            1358.811706           
  1.520000               10.133333              1435.332445            1362.450878           
  1.530000               10.200000              1439.151366            1366.088558           
  1.540000               10.266667              1442.966957            1369.724704           
  1.550000               10.333333              1446.779205            1373.359290           
  1.560000               10.400000              1450.588088            1376.992289           
  1.570000               10.466667              1454.393628            1380.623717           
  1.580000               10.533333              1458.195791            1384.253535           
  1.590000               10.600000              1461.994577            1387.881736           
  1.600000               10.666667              1465.789974            1391.508293           
  1.610000               10.733333              1469.581958            1395.133178           
  1.620000               10.800000              1473.370553            1398.756405           
  1.630000               10.866667              1477.155743            1402.377954           
  1.640000               10.933333              1480.937479            1405.997765           
  1.650000               11.000000              1484.715800            1409.615865           
  1.660000               11.066667              1488.490713            1413.232265           
  1.670000               11.133333              1492.262155            1416.846883           
  1.680000               11.200000              1496.030172            1420.459761           
  1.690000               11.266667              1499.794723            1424.070837           
  1.700000               11.333333              1503.555834            1427.680146           
  1.710000               11.400000              1507.313474            1431.287643           
  1.720000               11.466667              1511.067639            1434.893300           
  1.730000               11.533333              1514.818313            1438.497109           
  1.740000               11.600000              1518.565526            1442.099092           
  1.750000               11.666667              1522.309261            1445.699216           
  1.760000               11.733333              1526.049513            1449.297462           
  1.770000               11.800000              1529.786249            1452.893796           
  1.780000               11.866667              1533.519507            1456.488244           
  1.790000               11.933333              1537.249273            1460.080776           
  1.800000               12.000000              1540.975542            1463.671393           
  1.810000               12.066667              1544.698279            1467.260028           
  1.820000               12.133333              1548.417537            1470.846750           
  1.830000               12.200000              1552.133304            1474.431525           
  1.840000               12.266667              1555.845538            1478.014298           
  1.850000               12.333333              1559.554234            1481.595050           
  1.860000               12.400000              1563.259436            1485.173829           
  1.870000               12.466667              1566.961149            1488.750631           
  1.880000               12.533333              1570.659291            1492.325338           
  1.890000               12.600000              1574.353942            1495.898059           
  1.900000               12.666667              1578.045090            1499.468743           
  1.910000               12.733333              1581.732722            1503.037376           
  1.920000               12.800000              1585.416782            1506.603898           
  1.930000               12.866667              1589.097329            1510.168352           
  1.940000               12.933333              1592.774393            1513.730759           
  1.950000               13.000000              1596.447915            1517.291050           
  1.960000               13.066667              1600.117910            1520.849229           
  1.970000               13.133333              1603.784381            1524.405295           
  1.980000               13.200000              1607.447340            1527.959240           
  1.990000               13.266667              1611.106764            1531.511042           
  2.000000               13.333333              1614.762679            1535.060713           
  2.010000               13.400000              1618.415055            1538.608203           
  2.020000               13.466667              1622.063918            1542.153546           
  2.030000               13.533333              1625.709265            1545.696716           
  2.040000               13.600000              1629.351095            1549.237711           
  2.050000               13.666667              1632.989396            1552.776492           
  2.060000               13.733333              1636.624192            1556.313101           
  2.070000               13.800000              1640.255474            1559.847491           
  2.080000               13.866667              1643.883249            1563.379683           
  2.090000               13.933333              1647.507484            1566.909609           
  2.100000               14.000000              1651.128248            1570.437363           
  2.110000               14.066667              1654.745490            1573.962844           
  2.120000               14.133333              1658.359212            1577.486073           
  2.130000               14.200000              1661.969428            1581.007041           
  2.140000               14.266667              1665.576180            1584.525785           
  2.150000               14.333333              1669.179409            1588.042243           
  2.160000               14.400000              1672.779145            1591.556420           
  2.170000               14.466667              1676.375349            1595.068280           
  2.180000               14.533333              1679.968129            1598.577912           
  2.190000               14.600000              1683.557370            1602.085191           
  2.200000               14.666667              1687.143153            1605.590201           
  2.210000               14.733333              1690.725460            1609.092908           
  2.220000               14.800000              1694.304254            1612.593257           
  2.230000               14.866667              1697.879594            1616.091310           
  2.240000               14.933333              1701.451453            1619.587021           
  2.250000               15.000000              1705.019845            1623.080408           
  2.260000               15.066667              1708.584773            1626.571447           
  2.270000               15.133333              1712.146237            1630.060138           
  2.280000               15.200000              1715.704262            1633.546499           
  2.290000               15.266667              1719.258789            1637.030444           
  2.300000               15.333333              1722.809901            1640.512074           
  2.310000               15.400000              1726.357524            1643.991284           
  2.320000               15.466667              1729.901743            1647.468173           
  2.330000               15.533333              1733.442493            1650.942640           
  2.340000               15.600000              1736.979813            1654.414728           
  2.350000               15.666667              1740.513718            1657.884443           
  2.360000               15.733333              1744.044170            1661.351729           
  2.370000               15.800000              1747.571204            1664.816631           
  2.380000               15.866667              1751.094823            1668.279125           
  2.390000               15.933333              1754.615040            1671.739228           
  2.400000               16.000000              1758.131811            1675.196870           
  2.410000               16.066667              1761.645199            1678.652123           
  2.420000               16.133333              1765.155150            1682.104912           
  2.430000               16.200000              1768.661758            1685.555332           
  2.440000               16.266667              1772.164929            1689.003266           
  2.450000               16.333333              1775.664721            1692.448784           
  2.460000               16.400000              1779.161132            1695.891859           
  2.470000               16.466667              1782.654167            1699.332489           
  2.480000               16.533333              1786.143819            1702.770665           
  2.490000               16.600000              1789.630089            1706.206370           
  2.500000               16.666667              1793.113014            1709.639636           
  2.510000               16.733333              1796.592572            1713.070444           
  2.520000               16.800000              1800.068771            1716.498778           
  2.530000               16.866667              1803.541607            1719.924638           
  2.540000               16.933333              1807.011051            1723.347968           
  2.550000               17.000000              1810.477238            1726.768916           
  2.560000               17.066667              1813.940080            1730.187368           
  2.570000               17.133333              1817.399588            1733.603349           
  2.580000               17.200000              1820.855727            1737.016787           
  2.590000               17.266667              1824.308596            1740.427795           
  2.600000               17.333333              1827.758107            1743.836266           
  2.610000               17.400000              1831.204384            1747.242329           
  2.620000               17.466667              1834.647228            1750.645760           
  2.630000               17.533333              1838.086859            1754.046779           
  2.640000               17.600000              1841.523181            1757.445288           
  2.650000               17.666667              1844.956166            1760.841232           
  2.660000               17.733333              1848.385942            1764.234751           
  2.670000               17.800000              1851.812423            1767.625741           
  2.680000               17.866667              1855.235612            1771.014201           
  2.690000               17.933333              1858.655530            1774.400143           
  2.700000               18.000000              1862.072235            1777.783615           
  2.710000               18.066667              1865.485573            1781.164458           
  2.720000               18.133333              1868.895812            1784.542944           
  2.730000               18.200000              1872.302670            1787.918757           
  2.740000               18.266667              1875.706341            1791.292103           
  2.750000               18.333333              1879.106832            1794.662970           
  2.760000               18.400000              1882.503953            1798.031172           
  2.770000               18.466667              1885.897971            1801.396968           
  2.780000               18.533333              1889.288715            1804.760174           
  2.790000               18.600000              1892.676358            1808.120955           
  2.800000               18.666667              1896.060630            1811.479045           
  2.810000               18.733333              1899.441842            1814.834727           
  2.820000               18.800000              1902.819767            1818.187780           
  2.830000               18.866667              1906.194514            1821.538307           
  2.840000               18.933333              1909.566144            1824.886358           
  2.850000               19.000000              1912.934576            1828.231845           
  2.860000               19.066667              1916.299776            1831.574722           
  2.870000               19.133333              1919.661846            1834.915101           
