# DNS(CMF) hadronic with electrons, in beta-equilibrium, EOS from CompOSE: https://compose.obspm.fr/eos/115
#
# n0   = 0.15       fm^-3   
# E0   = -16.0      MeV
# K0   = 300.0      MeV
# Esym = 30.0       MeV
# Lsym = 88.0       MeV
# Ksym = 0.0        MeV
# mN   = 939.565421 MeV
# mP   = 938.272088 MeV
#
#             T [MeV]                     nB [fm^-3]                   YQ         pressure P [MeV fm^-3]       muB - mN [MeV]     energy density [MeV fm^-3]   proton fraction Yp       electron fraction Ye       muon fraction Ymu
#
   0.0000000000000000        1.0000000000000000E-002   4.7285602473505061E-003   7.5976195358080680E-003   2.6798644300023735        9.4089013651279476        4.7285606455981606E-003   4.7285602473505070E-003   0.0000000000000000     
   0.0000000000000000        2.0000000000000000E-002   6.0011733126692796E-003   1.6848838558668307E-002   2.9367327507744321        18.821527768009403        6.0011736979223625E-003   6.0011733126692796E-003   0.0000000000000000     
   0.0000000000000000        2.9999999999999999E-002   7.1448728783211918E-003   2.7288102256366843E-002   3.1796641270079258        28.237466954354950        7.1448732268449139E-003   7.1448728783211918E-003   0.0000000000000000     
   0.0000000000000000        4.0000000000000001E-002   8.5902849189996213E-003   3.7991084592606576E-002   3.4094603925743470        37.657151241687131        8.5902851987082075E-003   8.5902849189996213E-003   0.0000000000000000     
   0.0000000000000000        5.0000000000000003E-002   9.6338220147242238E-003   6.5253289007406734E-002   4.0241415044046294        47.083057844537052        9.6338222359998015E-003   9.6338220147242238E-003   0.0000000000000000     
   0.0000000000000000        6.0000000000000005E-002   1.0238081999845623E-002  0.14626524737995816        5.5130523489527752        56.518791569082452        1.0238082185941697E-002   1.0238081999845623E-002   0.0000000000000000     
   0.0000000000000000        6.9999999999999993E-002   1.1035306602518105E-002  0.27815321631556933        7.5714184602323620        65.972277048448689        1.1035306742307731E-002   1.1035306602518105E-002   0.0000000000000000     
   0.0000000000000000        8.0000000000000002E-002   1.2199849923456204E-002  0.46929435128760000        10.150830842740854        75.448334077659553        1.2199849998954468E-002   1.2199849923456206E-002   0.0000000000000000     
   0.0000000000000000        8.9999999999999997E-002   2.2472712101862601E-002  0.69137006929986367        12.568401179817629        84.948874354838253        2.2472712277284864E-002   2.2472712101862601E-002   0.0000000000000000     
   0.0000000000000000        9.9999999999999992E-002   2.5374240581778840E-002   1.0102240232634587        15.942342217210772        94.481527194048724        2.5374241111996845E-002   2.5374240581778840E-002   0.0000000000000000     
   0.0000000000000000       0.11000000000000000        2.7748582597705320E-002   1.4129275766886606        19.820805104623535        104.04974445655799        2.7748583416850544E-002   2.7748582597705317E-002   0.0000000000000000     
   0.0000000000000000       0.12000000000000000        3.1257537157333863E-002   1.8965889277116303        24.036239024403500        113.65804627095331        3.1257538220666625E-002   3.1257537157333863E-002   0.0000000000000000     
   0.0000000000000000       0.13000000000000000        3.5221987857181884E-002   2.4687959264197827        28.610594483365887        123.31005743055350        3.5221988941212569E-002   3.5221987857181884E-002   0.0000000000000000     
   0.0000000000000000       0.14000000000000001        3.9291918220427768E-002   3.1371468730511620        33.559683524495846        133.00982048864390        3.9291919226890376E-002   3.9291918220427768E-002   0.0000000000000000     
   0.0000000000000000       0.15000000000000002        4.3463814295502869E-002   3.9059169406336651        38.859734885534124        142.76087400678949        4.3463815286425414E-002   4.3463814295502869E-002   0.0000000000000000     
   0.0000000000000000       0.16000000000000000        4.7700998349962900E-002   4.7791090146201629        44.491265388873629        152.56648097553679        4.7700999361460571E-002   4.7700998349962900E-002   0.0000000000000000     
   0.0000000000000000       0.17000000000000001        5.1994701355955741E-002   5.7604134122768693        50.437022205950619        162.43007155644256        5.1994702332046429E-002   5.1994701355955741E-002   0.0000000000000000     
   0.0000000000000000       0.18000000000000002        5.6320745268307881E-002   6.8527187176349553        56.677248935551816        172.35455452722820        5.6320746167225842E-002   5.6320745268307881E-002   0.0000000000000000     
   0.0000000000000000       0.19000000000000000        6.0665195435997799E-002   8.0585821837084612        63.194084853655561        182.34285202355900        6.0665196477997479E-002   6.0665195435997799E-002   0.0000000000000000     
   0.0000000000000000       0.20000000000000001        6.5011656299084675E-002   9.3800684784225137        69.969840582676298        192.39764542261503        6.5011657800584405E-002   6.5011656299084675E-002   0.0000000000000000     
   0.0000000000000000       0.21000000000000002        6.9345899054495896E-002   10.818839046777310        76.987510119664279        202.52146488708860        6.9345901013255384E-002   6.9345899054495896E-002   0.0000000000000000     
   0.0000000000000000       0.22000000000000000        7.3656005765031507E-002   12.375948093636417        84.228840819487942        212.71651790773089        7.3656007852834632E-002   7.3656005765031507E-002   0.0000000000000000     
   0.0000000000000000       0.23000000000000001        7.7929946922372109E-002   14.052461981586001        91.679414531953441        222.98510455835472        7.7929948921477435E-002   7.7929946922372109E-002   0.0000000000000000     
   0.0000000000000000       0.24000000000000002        8.2158778831180862E-002   15.848797983370741        99.322672987698937        233.32913744063478        8.2158780871401105E-002   8.2158778831180862E-002   0.0000000000000000     
   0.0000000000000000       0.25000000000000000        8.6333426049034240E-002   17.765284239803023        107.14442645932874        243.75049810437002        8.6333428244569549E-002   8.6333426049034240E-002   0.0000000000000000     
   0.0000000000000000       0.26000000000000001        9.0447154704640792E-002   19.801966580671355        115.13092954636674        254.25093987798462        9.0447156649699670E-002   9.0447154704640792E-002   0.0000000000000000     
   0.0000000000000000       0.27000000000000002        9.4493830337966378E-002   21.958599785942845        123.26863019712063        264.83198180061362        9.4493831467821907E-002   9.4493830337966364E-002   0.0000000000000000     
