#
#nB[fm^-3]                nB/n0                 E/A NS[MeV]           E/A HIC[MeV]       
  1.380000                9.200000              1363.016395            1303.384107           
  1.390000                9.266667              1366.827905            1307.042244           
  1.400000                9.333333              1370.636020            1310.698892           
  1.410000                9.400000              1374.440731            1314.354023           
  1.420000                9.466667              1378.242061            1318.007657           
  1.430000                9.533333              1382.039969            1321.659742           
  1.440000                9.600000              1385.834416            1325.310225           
  1.450000                9.666667              1389.625434            1328.959134           
  1.460000                9.733333              1393.413010            1332.606443           
  1.470000                9.800000              1397.197109            1336.252110           
  1.480000                9.866667              1400.977783            1339.896169           
  1.490000                9.933333              1404.754950            1343.538537           
  1.500000               10.000000              1408.528667            1347.179262           
  1.510000               10.066667              1412.298872            1350.818262           
  1.520000               10.133333              1416.065560            1354.455521           
  1.530000               10.200000              1419.828771            1358.091077           
  1.540000               10.266667              1423.588454            1361.724862           
  1.550000               10.333333              1427.344663            1365.356925           
  1.560000               10.400000              1431.097296            1368.987140           
  1.570000               10.466667              1434.846457            1372.615615           
  1.580000               10.533333              1438.592047            1376.242227           
  1.590000               10.600000              1442.334111            1379.867018           
  1.600000               10.666667              1446.072647            1383.489984           
  1.610000               10.733333              1449.807639            1387.111070           
  1.620000               10.800000              1453.539083            1390.730288           
  1.630000               10.866667              1457.266978            1394.347611           
  1.640000               10.933333              1460.991287            1397.962990           
  1.650000               11.000000              1464.712092            1401.576505           
  1.660000               11.066667              1468.429328            1405.188072           
  1.670000               11.133333              1472.142992            1408.797683           
  1.680000               11.200000              1475.853078            1412.405307           
  1.690000               11.266667              1479.559597            1416.010951           
  1.700000               11.333333              1483.262569            1419.614628           
  1.710000               11.400000              1486.961984            1423.216313           
  1.720000               11.466667              1490.657805            1426.815958           
  1.730000               11.533333              1494.350080            1430.413593           
  1.740000               11.600000              1498.038778            1434.009191           
  1.750000               11.666667              1501.723888            1437.602707           
  1.760000               11.733333              1505.405437            1441.194169           
  1.770000               11.800000              1509.083405            1444.783550           
  1.780000               11.866667              1512.757820            1448.370856           
  1.790000               11.933333              1516.428656            1451.956052           
  1.800000               12.000000              1520.095915            1455.539132           
  1.810000               12.066667              1523.759629            1459.120108           
  1.820000               12.133333              1527.419748            1462.698933           
  1.830000               12.200000              1531.076290            1466.275601           
  1.840000               12.266667              1534.729287            1469.850130           
  1.850000               12.333333              1538.378725            1473.422509           
  1.860000               12.400000              1542.024558            1476.992664           
  1.870000               12.466667              1545.666863            1480.560680           
  1.880000               12.533333              1549.305593            1484.126476           
  1.890000               12.600000              1552.940760            1487.690062           
  1.900000               12.666667              1556.572395            1491.251462           
  1.910000               12.733333              1560.200440            1494.810596           
  1.920000               12.800000              1563.824954            1498.367528           
  1.930000               12.866667              1567.445899            1501.922196           
  1.940000               12.933333              1571.063328            1505.474636           
  1.950000               13.000000              1574.677154            1509.024762           
  1.960000               13.066667              1578.287512            1512.572697           
  1.970000               13.133333              1581.894258            1516.118280           
  1.980000               13.200000              1585.497512            1519.661620           
  1.990000               13.266667              1589.097227            1523.202667           
  2.000000               13.333333              1592.693413            1526.741413           
  2.010000               13.400000              1596.286054            1530.277818           
  2.020000               13.466667              1599.875149            1533.811893           
  2.030000               13.533333              1603.460771            1537.343691           
  2.040000               13.600000              1607.042866            1540.873145           
  2.050000               13.666667              1610.621447            1544.400262           
